class_id,class_name,ap,tp,fp,resolution
0,aeroplane,69.43,194,113,288 
1,bicycle,75.30,237,79,288
2,bird,64.77,295,166,288
3,boat,60.67,163,132,288
4,bottle,35.29,181,160,288
5,bus,78.03,158,68,288
6,car,76.52,915,436,288
7,cat,85.88,288,66,288
8,chair,44.82,387,762,288
9,cow,69.43,175,120,288
10,diningtable,71.78,152,136,288
11,dog,80.59,384,137,288
12,horse,83.94,275,81,288
13,motorbike,79.43,246,88,288
14,person,67.34,3051,1550,288
15,pottedplant,37.85,217,343,288
16,sheep,61.86,157,137,288
17,sofa,70.84,182,202,288
18,train,84.97,239,93,288
19,tvmonitor,66.72,210,168,288
0,aeroplane,73.95,208,113,352 
1,bicycle,80.55,253,86,352
2,bird,71.07,319,165,352
3,boat,63.45,168,149,352
4,bottle,42.35,217,218,352
5,bus,81.89,172,50,352
6,car,81.85,987,476,352
7,cat,89.03,304,57,352
8,chair,52.73,440,772,352
9,cow,74.38,186,129,352
10,diningtable,76.96,164,130,352
11,dog,85.21,412,132,352
12,horse,85.89,287,73,352
13,motorbike,82.90,252,94,352
14,person,73.01,3281,1636,352
15,pottedplant,43.35,249,381,352
16,sheep,73.30,179,124,352
17,sofa,75.58,187,229,352
18,train,85.60,239,106,352
19,tvmonitor,71.64,226,159,352
0,aeroplane,77.43,218,117,416 
1,bicycle,85.24,270,84,416
2,bird,74.29,338,154,416
3,boat,65.76,182,167,416
4,bottle,45.05,226,265,416
5,bus,81.97,165,60,416
6,car,83.98,1005,526,416
7,cat,90.74,309,72,416
8,chair,57.82,473,788,416
9,cow,80.08,200,138,416
10,diningtable,76.47,164,135,416
11,dog,87.72,408,146,416
12,horse,86.73,290,80,416
13,motorbike,84.36,263,85,416
14,person,76.94,3447,1706,416
15,pottedplant,47.27,256,370,416
16,sheep,78.37,196,120,416
17,sofa,79.00,189,257,416
18,train,88.34,253,92,416
19,tvmonitor,77.35,242,157,416
0,aeroplane,75.78,220,132,480 
1,bicycle,85.70,275,85,480
2,bird,76.35,355,173,480
3,boat,67.14,185,172,480
4,bottle,51.60,256,265,480
5,bus,85.47,171,55,480
6,car,86.18,1031,548,480
7,cat,90.24,311,74,480
8,chair,59.84,488,749,480
9,cow,80.77,203,141,480
10,diningtable,77.72,164,151,480
11,dog,88.52,415,161,480
12,horse,88.45,299,79,480
13,motorbike,85.43,255,103,480
14,person,80.17,3601,1786,480
15,pottedplant,46.47,270,376,480
16,sheep,82.02,204,118,480
17,sofa,78.02,197,283,480
18,train,87.68,251,106,480
19,tvmonitor,76.10,239,153,480
0,aeroplane,81.33,241,126,544 
1,bicycle,86.50,281,115,544
2,bird,77.27,351,190,544
3,boat,67.18,187,208,544
4,bottle,52.99,268,294,544
5,bus,86.41,179,66,544
6,car,88.43,1070,598,544
7,cat,89.97,308,111,544
8,chair,60.12,489,835,544
9,cow,84.97,214,123,544
10,diningtable,73.83,164,210,544
11,dog,86.42,413,207,544
12,horse,87.79,289,103,544
13,motorbike,83.56,264,132,544
14,person,81.67,3692,1923,544
15,pottedplant,48.28,278,411,544
16,sheep,81.31,204,123,544
17,sofa,76.38,197,345,544
18,train,85.01,246,142,544
19,tvmonitor,77.68,243,182,544

